Species	South_China_Sea	Sunda_Shelf	Java_Transitional	South_Kuroshio	Tropical_Northwestern_Pacific	Western_Coral_Triangle	Eastern_Coral_Triangle	Sahul_Shelf	Northeast_Australian_Shelf	Northwest_Australian_Shelf	Tropical_Southwestern_Pacific	Lord_Howe_and_Norfolk_Islands	Hawaii	Marshall_Gilbert_and_Ellis_Islands	Central_Polynesia	Southeast_Polynesia	Marquesas	Easter_Island
Abalistes filamentosus	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0
Abalistes stellaris	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Abalistes stellatus	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Ablabys macracanthus	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Ablabys taenianotus	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0
Ablennes hians	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Abudefduf abdominalis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Abudefduf bengalensis	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0
Abudefduf conformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Abudefduf lorenzi	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0
Abudefduf notatus	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0
Abudefduf septemfasciatus	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0
Abudefduf sexfasciatus	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
Abudefduf sordidus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Abudefduf vaigiensis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Abudefduf whitleyi	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
Acanthaluteres brownii	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Acanthaluteres spilomelanurus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acanthistius cinctus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acanthistius fuscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acanthistius ocellatus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acanthistius pardalotus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acanthistius serratus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acanthochromis polyacanthus	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Acanthocybium solandri	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acanthopagrus australis	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Acanthopagrus berda	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0
