order_name	family_name	genus_name	species_name	country	province	geographical_location	exactsite	FID	Shape *	ECO_CODE	ECOREGION	PROV_CODE	PROVINCE	RLM_CODE	REALM	ALT_CODE	ECO_CODE_X	Lat_Zone
Perciformes	Serranidae	Grammistes	Grammistes sexlineatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Callogobius	Callogobius maculipinnis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Priolepis	Priolepis inhaca	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Fowleria	Fowleria marmorata	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Priolepis	Priolepis semidoliata	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Serranidae	Pseudogramma	Pseudogramma polyacantha	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Callogobius	Callogobius maculipinnis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Blenniiformes	Blenniidae	Enchelyurus		French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax javanicus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax melatremus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
