scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Alcicornis hainanensis	Gu & Shen, 1976        	Zonichthys nigrofasciata	South China Sea	South China Sea
Ectenurus zonichthyi	Gu & Shen, 1978        	Zonichthys nigrofasciata	South China Sea	South China Sea
Uterovesiculurus sinensis	Gu & Shen, 1978        	Zonichthys nigrofasciata	South China Sea	South China Sea
Bucephalus varicus	Manter, 1940          	Zonichthys nigrofasciata	South China Sea	South China Sea
Musculovesicula zonichthydis	Shen, 1990          	Zonichthys nigrofasciata	South China Sea	South China Sea
Preptetos xesuri	(Yamaguti, 1940)          	Zebrasoma veliferum	Australia: Coast of Queensland	Northeast Australian Shelf
Zebrasomatrema pichelinae	Bray & Chambers, 2000        	Zebrasoma veliferum	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecithoides zebrasomatis	Yamaguti, 1970          	Zebrasoma veliferum	Hawaiian coast	Hawaii
Neohexangitrema zebrasomatis	          	Zebrasoma scopas	Australia: Coast of Queensland	Northeast Australian Shelf
Preptetos xesuri	(Yamaguti, 1940)          	Zebrasoma scopas	Australia: Coast of Queensland	Northeast Australian Shelf
Zebrasomatrema pichelinae	Bray & Chambers, 2000        	Zebrasoma scopas	Australia: Coast of Queensland	Northeast Australian Shelf
Prototransversotrema steeri	(Angel, 1969)          	Xiphophorus maculatus	Queensland	Northeast Australian Shelf
Prototransversotrema steeri	(Angel, 1969)          	Xiphophorus helleri	Australia: Coast of Queensland	Northeast Australian Shelf
Prototransversotrema steeri	(Angel, 1969)          	Xiphophorus helleri	Queensland	Northeast Australian Shelf
Centrocestus formosanus	(Nishigori, 1924)          	Xiphophorus helleri	Hawaiian Islands	Hawaii
Reniforma multilobularis	Yamaguti, 1970          	Xiphias gladius	Hawaiian coast	Hawaii
Lepotrema xanthichthydis	(Yamaguti, 1970)          	Xanthichthys ringens	Hawaiian coast	Hawaii
Lepocreadium xanthichthydis	Yamaguti, 1970          	Xanthichthys ringens	Hawaiian coast	Hawaii
Diploproctodaeum waki	Shen, 1990          	Wak sina	South China Sea	South China Sea
Hamacreadium hainanensis	Shen, 1990          	Wak sina	South China Sea	South China Sea
Pleorchis sciaenae	Yamaguti, 1938          	Wak sina	South China Sea	South China Sea
Plerurus digitatus	(Looss, 1899)          	Variola louti	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema patialense	(Soparkar, 1924)          	Valamugil seheli	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Valamugil cunnesius	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Upeneus tragula	Australia: Coast of Queensland	Northeast Australian Shelf
Bucephalopsis obpyriformis	Gu & Shen, 1976        	Tylosurus melanotus	South China Sea	South China Sea
Hurleytrema hainanense	Shen, 1990          	Tylosurus melanotus	South China Sea	South China Sea
Bucephalopsis bennetti	(Hopkins & Sparks)        	Tylosurus leiurus	South China Sea	South China Sea
Bucephalopsis bennetti	(Hopkins & Sparks, 1958)        	Tylosurus leiurus	South China Sea	South China Sea
Phyllodistomum pearsei	Holl, 1929          	Tylosurus leiurus	South China Sea	South China Sea
Schikhobalotrema acutum	(Linton, 1910)          	Tylosurus giganteus	South China Sea	South China Sea
Lecithaster stellatus	Looss, 1906          	Tylosurus anstomella	South China Sea	South China Sea
Gonapodasmius hainanensis	Gu & Shen, 1983        	Trisotropis dermopterus	South China Sea	South China Sea
Trifoliovarium triacanthi	(Parukhin, 1964)          	Tripodichthys angustifrons	Australia: Coast of Queensland	Northeast Australian Shelf
Trifoliovarium triacanthi	Bilqees, 1971          	Tripodichthys angustifrons	Australia: Coast of Queensland	Northeast Australian Shelf
Trifoliovarium triacanthusi	Gupta & Ahmad, 1976        	Tripodichthys angustifrons	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha triacanthi	Parukhin, 1964          	Tripodichthys angustifrons	Australia: Coast of Queensland	Northeast Australian Shelf
Coitocaecum orthorchis	Ozaki, 1926          	Tridentiger obscurus	South China Sea	South China Sea
Plerurus digitatus	(Looss, 1899)          	Trichiurus lepturus	Coast of Philippines	Western Coral Triangle
Musculovesicula trichiuri	Gu & Shen        	Trichiurus haumela	South China Sea	South China Sea
Erilepturus trichiuri	Gu & Shen, 1978        	Trichiurus haumela	South China Sea	South China Sea
Lecithochirium trichiuri	Gu & Shen, 1981        	Trichiurus haumela	South China Sea	South China Sea
Plerurus hainanensis	Gu & Shen, 1981        	Trichiurus haumela	South China Sea	South China Sea
Plerurus spatulocirrus	Gu & Shen, 1981        	Trichiurus haumela	South China Sea	South China Sea
Plerurus trichiuri	Gu & Shen, 1981        	Trichiurus haumela	South China Sea	South China Sea
Lecithochirium fusiforme	Luhe, 1901          	Trichiurus haumela	South China Sea	South China Sea
Aponurus megaloporus	Shen & Li, 2000        	Trichiurus haumela	South China Sea	South China Sea
Lecithocladium pagrosomi	Yamaguti, 1934          	Trichiurus haumela	South China Sea	South China Sea
Tubulovesicula anguillae	Yamaguti, 1934          	Trichiurus haumela	South China Sea	South China Sea
Bucephalopsis scombropsis	Yamaguti, 1938          	Trichiurus haumela	South China Sea	South China Sea
Lecithochirium holocentri	Yamaguti, 1970          	Trichiurus haumela	South China Sea	South China Sea
Stephanostomum imparispine	(Linton, 1905)          	Triacanthus brevirostris	South China Sea	South China Sea
Torticaecum fenestratum	(Linton, 1907)          	Triacanthus brevirostris	South China Sea	South China Sea
Hypocreadium scaphosomum	(Manter, 1940)          	Triacanthus brevirostris	South China Sea	South China Sea
Derogenes varicus	(Muller, 1784)          	Triacanthus brevirostris	South China Sea	South China Sea
Coitocaecum parvum	Crowcroft, 1944          	Triacanthus brevirostris	South China Sea	South China Sea
Pseudocreadium scaphosomum	Manter, 1940          	Triacanthus brevirostris	South China Sea	South China Sea
Diploproctodaeum macracetabulum	Oshmarin, Mamaev & Parukhin, 1961        	Triacanthus brevirostris	South China Sea	South China Sea
Schistorchis skrjabini	Parukhin, 1963          	Triacanthus brevirostris	South China Sea	South China Sea
Xystretrum abalisti	Parukhin, 1963          	Triacanthus brevirostris	South China Sea	South China Sea
Hysterolecitha triacanthi	Parukhin, 1964          	Triacanthus brevirostris	South China Sea	South China Sea
Clavogalea trachinoti	(Fischthal & Thomas, 1968)        	Trachinotus coppingeri	Australia: Coast of Queensland	Northeast Australian Shelf
Elytrophalloides humerus	Bray, 1990          	Trachinotus coppingeri	Australia: Coast of Queensland	Northeast Australian Shelf
Chrisomon gaigai	Dove & Cribb, 1998        	Trachinotus coppingeri	Australia: Coast of Queensland	Northeast Australian Shelf
Provitellus turrum	Dove & Cribb, 1998        	Trachinotus coppingeri	Australia: Coast of Queensland	Northeast Australian Shelf
Clavogalea trachinoti	(Fischthal & Thomas, 1968)        	Trachinotus botla	Australia: Coast of Queensland	Northeast Australian Shelf
Elytrophalloides humerus	Bray, 1990          	Trachinotus botla	Australia: Coast of Queensland	Northeast Australian Shelf
Chrisomon gaigai	Dove & Cribb, 1998        	Trachinotus botla	Australia: Coast of Queensland	Northeast Australian Shelf
Lobatostoma manteri	Rohde, 1973          	Trachinotus blochii	Australia: Coast of Queensland	Northeast Australian Shelf
Tubulovesicula spari	Yamaguti, 1934          	Trachinocephalus myops	South China Sea	South China Sea
Bianium plicitum	(Linton, 1928)          	Torquigener whitleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Bianium plicitum	(Linton, 1928)          	Torquigener pleurogramma	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema patialense	(Soparkar, 1924)          	Tilapia mossambica	Coast of Philippines	Western Coral Triangle
Didymocystis ovata	Ishii, 1935          	Thunnus tonggol	South China Sea	South China Sea
Koellikeria orientalis	Yamaguti, 1934          	Thunnus tonggol	South China Sea	South China Sea
Oesophagocystis dissimilis	(Yamaguti, 1938)          	Thunnus thynnus	South China Sea	South China Sea
Univitellodidymocystis neothunni	Yamaguti, 1970          	Thunnus thynnus	Hawaiian coast	Hawaii
Platocystis vivipara	(Yamaguti, 1970)          	Thunnus obesus	Hawaiian coast	Hawaii
Wedlia pylorica	(Yamaguti, 1970)          	Thunnus obesus	Hawaiian coast	Hawaii
Wedlia retrorbitalis	(Yamaguti, 1970)          	Thunnus obesus	Hawaiian coast	Hawaii
Cardicola ahi	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Didymocystoides bifasciatus	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Koellikerioides externogastricus	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Koellikerioides internogastricus	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Neonematobothrioides poonui	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Opisthorchinematobothrium parathunni	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Univitellodidymocystis neothunni	Yamaguti, 1970          	Thunnus obesus	Hawaiian coast	Hawaii
Platocystis vivipara	(Yamaguti, 1970)          	Thunnus albacares	Hawaiian coast	Hawaii
Wedlia abdominalis	(Yamaguti, 1970)          	Thunnus albacares	Hawaiian coast	Hawaii
Wedlia retrorbitalis	(Yamaguti, 1970)          	Thunnus albacares	Hawaiian coast	Hawaii
Cardicola ahi	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Didymocystis irregularis	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Didymocystoides bifasciatus	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Koellikerioides externogastricus	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Koellikerioides internogastricus	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Orbitonematobothrium perioculare	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Univitellodidymocystis neothunni	Yamaguti, 1970          	Thunnus albacares	Hawaiian coast	Hawaii
Didymocystis irregularis	Yamaguti, 1970          	Thunnus alalunga	Hawaiian coast	Hawaii
Opisthorchinematobothrium parathunni	Yamaguti, 1970          	Thunnus alalunga	Hawaiian coast	Hawaii
Ectenurus theraponae	Oshmarin, 1965          	Therapon theraps	South China Sea	South China Sea
Plagioporus serotinus	Stafford, 1904          	Therapon theraps	South China Sea	South China Sea
Opecoelus inimici	Yamaguti, 1934          	Therapon theraps	South China Sea	South China Sea
Transversotrema patialense	(Soparkar, 1924)          	Therapon plumbeus	Coast of Philippines	Western Coral Triangle
Opecoelus minimus	(Tubangui, 1928)          	Therapon plumbeus	Coast of Philippines	Western Coral Triangle
Azygia pristipomai	Tubangui, 1928          	Therapon plumbeus	Coast of Philippines	Western Coral Triangle
Azygia pristipomai	Tubangui, 1928          	Therapon jarbua	Coast of Philippines	Western Coral Triangle
Torticaecum nipponicum	Yamaguti, 1942          	Therapon jarbua	Coast of Philippines	Western Coral Triangle
Transversotrema patialense	(Soparkar, 1924)          	Therapon argenteus	Coast of Philippines	Western Coral Triangle
Lepocreadium navodoni	Shen, 1986          	Thamnaconus modestus	South China Sea	South China Sea
Deretrema nahaense	Yamaguti, 1942          	Thalassoma lutescens	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Thalassoma lunare	Australia: Coast of Queensland	Northeast Australian Shelf
Bivesicula claviformis	Yamaguti, 1934          	Thalassoma lunare	Australia: Coast of Queensland	Northeast Australian Shelf
Deretrema nahaense	Yamaguti, 1942          	Thalassoma lunare	Australia: Coast of Queensland	Northeast Australian Shelf
