"E_CODE";"EcosystemName";"SpecCode";"Species";"autoctr";"EcosystemRefno";"Stockcode";"Status";"CurrentPresence";"Abundance";"LifeStage";"Remarks";"Entered";"Dateentered";"Modified";"Datemodified";"Expert";"Datechecked";"WebURL";"TS";"PROVINCE";"REALM"
1506;"Arnhem Coast to Gulf of Carpenteria";6036;"Ecsenius yaeyamaensis";252700;75154;6350;"native";"Present";NA;"adults";"Gove, NT.";2542;2021-02-17;NA;2021-02-17 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";6070;"Plagiotremus laudandus";252853;75154;6384;"native";"Present";NA;"adults";NA;2542;2021-03-29;NA;2021-03-29 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";6076;"Petroscirtes variabilis";252849;75154;6390;"native";"Present";NA;"adults";NA;2542;2021-03-26;NA;2021-03-26 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";7566;"Omobranchus punctatus";252801;75154;7869;"native";"Present";NA;"adults";NA;2542;2021-03-04;NA;2021-03-04 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";7565;"Omobranchus ferox";252796;75154;7870;"native";"Present";NA;"adults";NA;2542;2021-03-04;NA;2021-03-04 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";7569;"Blenniella bilitonensis";252589;75154;7873;"native";"Present";NA;"adults";"McCluer Island, NT.";2542;2021-01-21;NA;2021-01-21 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";7621;"Uranoscopus bicinctus";251851;75154;7929;"native";"Present";NA;"adults";NA;2542;2020-09-16;NA;2020-09-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";7661;"Ecsenius lividanalis";252669;75154;7970;"native";"Present";NA;"adults";"Oxley Island, NT.";2542;2021-02-15;NA;2021-02-15 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";8039;"Omobranchus elongatus";252794;75154;8350;"native";"Present";NA;"adults";NA;2542;2021-03-04;NA;2021-03-04 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";8303;"Uranoscopus oligolepis";251857;75154;8617;"native";"Present";NA;"adults";NA;2542;2020-09-16;NA;2020-09-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";8514;"Helcogramma striata";252501;75154;8828;"native";"Present";NA;"adults";"Cobourg Peninsula, NT.";2542;2021-01-14;NA;2021-01-14 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";10549;"Uranoscopus cognatus";251853;75154;10871;"native";"Present";NA;"adults";NA;2542;2020-09-16;NA;2020-09-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";10575;"Uranoscopus kaianus";251856;75154;10898;"native";"Present";NA;"adults";NA;2542;2020-09-16;NA;2020-09-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";10856;"Ichthyscopus fasciatus";251778;75154;11180;"native";"Present";NA;"adults";NA;2542;2020-09-10;NA;2020-09-10 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";12632;"Ecsenius aequalis";252609;75154;12976;"native";"Present";NA;"adults";"Holmes Reef, QLD.";2542;2021-01-26;NA;2021-01-26 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";12638;"Ecsenius tigris";252692;75154;12982;"endemic";"Present";NA;"adults";"Holmes Reef, QLD.";2542;2021-02-16;NA;2021-02-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";12640;"Ecsenius trilineatus";252694;75154;12984;"native";"Present";NA;"adults";NA;2542;2021-02-16;NA;2021-02-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";12668;"Parapercis xanthozona";251675;75154;13009;"native";"Present";NA;"adults";NA;2542;2020-08-13;NA;2020-08-13 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";13577;"Helcogramma gymnauchen";252498;75154;13707;"native";"Present";NA;"adults";"Yirkalla, NT";2542;2021-01-14;NA;2021-01-14 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";13754;"Omobranchus anolius";252792;75154;13800;"native";"Present";NA;"adults";NA;2542;2021-03-04;NA;2021-03-04 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";14196;"Enneapterygius hemimelas";252353;75154;14071;"native";"Present";NA;"adults";"Gove, NT (Ref. 75154).";2542;2020-11-19;NA;2020-11-19 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";24186;"Lepadichthys frenatus";253112;75154;19216;"native";"Present";NA;"adults";NA;2542;2021-06-17;NA;2021-06-17 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";46963;"Enneapterygius larsonae";252363;75154;39552;"native";"Present";NA;"adults";NA;2542;2020-11-20;NA;2020-11-20 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";47041;"Enneapterygius triserialis";252416;75154;39611;"native";"Present";NA;"adults";"Holmes Reef (16° 31'S)";2542;2020-12-02;NA;2020-12-02 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";47204;"Ucla xenogrammus";252520;75154;39731;"native";"Present";NA;"adults";"New Year Island, NT";2542;2021-01-18;NA;2021-01-18 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";47865;"Pholidichthys anguis";251610;75154;40219;"native";"Present";NA;"adults";"Off Groote Eytlandt, NT (136°15'E) (Ref. 75154).";2542;2020-08-07;NA;2020-08-07 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";49419;"Callionymus pleurostictus";253372;75154;41372;"native";"Present";NA;"adults";NA;2542;2021-07-16;NA;2021-07-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";49509;"Enneapterygius philippinus";252411;75154;41431;"native";"Present";NA;"adults";"New Year island, NT";2542;2020-12-02;NA;2020-12-02 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";51546;"Enneapterygius namarrgon";252365;75154;43071;"endemic";"Present";NA;"adults";"Gove Peninsula, NT";2542;2020-11-20;NA;2020-11-20 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";52892;"Champsodon atridorsalis";251596;75154;43932;"native";"Present";NA;"adults";NA;2542;2020-08-06;NA;2020-08-06 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";56837;"Omobranchus rotundiceps";252805;75154;46710;"native";"Present";NA;"adults";NA;2542;2021-03-04;NA;2021-03-04 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";59280;"Callionymus leucobranchialis";253379;75154;49011;"native";"Present";NA;"adults";NA;2452;2021-07-16;NA;2021-07-16 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";69025;"Equulites elongatus";250075;120651;60657;"native";"Present";NA;"adults";"Known from the Gulf of Carpenteria.";14;2019-07-09;NA;2019-07-09 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
1506;"Arnhem Coast to Gulf of Carpenteria";69702;"Zebrias callizona";255024;94170;61399;"native";"Present";NA;"adults";"Gulf of Carpentaria, Northern Territory.";14;2022-05-19;NA;2022-05-19 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";390;"Mene maculata";230967;9819;404;"native";"Present";NA;"adults";NA;10;2017-02-24;NA;2017-02-24 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
849;"Arafura Sea";941;"Atrobucca nibe";230708;94170;957;"native";"Present";NA;"adults";NA;14;2017-02-02;NA;2017-02-02 00:00:00;NA;NA;NA;NA;"Sahul Shelf";"Central Indo-Pacific"
