Species
Abudefduf troschelii
Acanthoplesiops indicus
Acanthostracion polygonium
Acanthostracion quadricornis
Acanthurus mindorensis
Amblycirrhitus pinos
Amblyeleotris aurora
Amoya signatus
Amphiprion chrysogaster
Amphiprion nigripes
Antennarius multiocellatus
Antennarius pardalis
Anthias anthias
Apogon campbelli
Ariosoma balearicum
Arothron inconditus
Atherinomorus stipes
Balistes capriscus
Bathygobius niger
Bodianus speciosus
Bodianus trilineatus
Bothus lunatus
Bothus ocellatus
Caesio striata
Canthidermis sufflamen
Canthigaster rostrata
Canthigaster smithae
Caranx bartholomaei
Caranx crysos
Caranx latus
Catesbya pseudomuraena
Centropyge argi
Cephalopholis cruentata
Cephalopholis fulva
Cephalopholis hemistiktos
Cephalopholis nigripinnis
Chaetodon capistratus
Chaetodon hemichrysus
Chaetodon humeralis
Chaetodon melapterus
Chaetodon ocellatus
Chaetodon striatus
Chilomycterus antillarum
Chlidichthys abruptus
Chlopsis dentatus
Chlorurus cyanescens
Chlorurus genazonatus
Chromis chromis
Chromis flavicauda
Chrysiptera annulata
Cirrhilabrus rubriventralis
Cirrhimuraena inhacae
Conger triporiceps
Coris latifasciata
Coryogalops tessellatus
Coryphopterus personatus
Corythoichthys insularis
Cosmocampus elucens
Creocele cardinalis
Cryptocentrus caeruleopunctatus
Cryptocentrus lutheri
Dactylophora nigricans
Dactylopterus volitans
Decapterus punctatus
Dendrochirus sausaulele
Dipulus caecus
Echidna catenata
Ecsenius frontalis
Elacatinus genie
Eleotris eigenmanni
Enchelycore nigricans
Enneapterygius abeli
Enneapterygius pallidus
Enneapterygius ventermaculus
Epinephelus analogus
Epinephelus andersoni
Epinephelus itajara
Epinephelus marginatus
Eques lanceolatus
Eviota rubra
Fistularia tabacaria
Foa madagascariensis
Ginglymostoma cirratum
Gobiodon ater
Gobulus myersi
Gramma melacara
Gunnellichthys irideus
Gymnothorax moringa
Gymnothorax nigromarginatus
Gymnothorax panamensis
Holocentrus adscensionis
Pycnochromis fieldi
Xanthichthys lima
Zebrasoma xanthurum
