Fish_species	Number_of_copepod_species
Acanthopagrus australis	13
Acanthopagrus latus	13
Caranx ignobilis	11
Acanthopagrus berda	10
Mugil cephalus	10
Sillago sihama	10
Ablennes hians	9
Euthynnus affinis	9
Epinephelus malabaricus	8
Scomberomorus commerson	8
Tylosurus crocodilus	8
Caranx sexfasciatus	7
Coryphaena hippurus	7
Diagramma pictum	7
Epinephelus cyanopodus	7
Galeocerdo cuvier	7
Lates calcarifer	7
Naso hexacanthus	7
Parastromateus niger	7
Strongylura strongylura	7
Caranx melampygus	6
Carcharhinus obscurus	6
Epinephelus merra	6
Siganus fuscescens	6
Trachinotus blochii	6
Tylosurus acus	6
Acanthocybium solandri	5
Acanthurus olivaceus	5
Acanthurus triostegus	5
Aulostomus chinensis	5
Chanos chanos	5
Gymnothorax favagineus	5
Lagocephalus lunaris	5
Lateolabrax japonicus	5
Lutjanus argentimaculatus	5
Lutjanus russellii	5
Lutjanus vitta	5
Megalaspis cordyla	5
Plectropomus leopardus	5
Siganus guttatus	5
Sphyrna lewini	5
Strongylura leiura	5
Synodus variegatus	5
Terapon jarbua	5
Aetobatus ocellatus	4
Elagatis bipinnulata	4
Epinephelus coioides	4
Epinephelus fuscoguttatus	4
Gymnocranius euanus	4
Gymnocranius grandoculis	4
Lobotes surinamensis	4
Priacanthus tayenus	4
Pterocaesio digramma	4
Sarda orientalis	4
Saurida undosquamis	4
Scomberoides commersonnianus	4
Scomberomorus queenslandicus	4
Sillago ciliata	4
Sphyraena jello	4
Strongylura incisa	4
Abalistes filamentosus	3
Acanthurus xanthopterus	3
Aluterus scriptus	3
Arothron hispidus	3
Arothron nigropunctatus	3
Arothron stellatus	3
Caesio cuning	3
Carcharhinus melanopterus	3
Carcharhinus plumbeus	3
Carcharhinus sorrah	3
Chaetodon fremblii	3
Chiloscyllium punctatum	3
Chirocentrus dorab	3
Cirripectes quagga	3
Decapterus kurroides	3
Epinephelus awoara	3
Epinephelus maculatus	3
Etelis coruscans	3
Fistularia petimba	3
Gymnosarda unicolor	3
Kyphosus bigibbus	3
Lutjanus fulviflamma	3
Lutjanus malabaricus	3
Macolor niger	3
Mene maculata	3
Monodactylus argenteus	3
Ostracion cubicus	3
Pelates quadrilineatus	3
Pervagor melanocephalus	3
Platax teira	3
Plectropomus maculatus	3
Polydactylus sextarius	3
Pomadasys maculatus	3
Priacanthus macracanthus	3
Pseudobalistes flavimarginatus	3
Pseudorhombus arsius	3
Rastrelliger kanagurta	3
Rhabdosargus sarba	3
Rhinecanthus aculeatus	3
Saurida gracilis	3
Sufflamen bursa	3
Synodus indicus	3
Tylosurus punctulatus	3
Abalistes stellatus	2
Abudefduf bengalensis	2
Acanthurus dussumieri	2
Acanthurus mata	2
Alepes djedaba	2
Aluterus monoceros	2
Arothron meleagris	2
Balistapus undulatus	2
Balistoides conspicillum	2
Balistoides viridescens	2
Bodianus bilunulatus	2
Carangoides ferdau	2
Carangoides fulvoguttatus	2
Carcharhinus amblyrhynchos	2
Centropyge venusta	2
Chaetodipterus faber	2
Chaetodon auriga	2
Chaetodon lunula	2
Cheilinus chlorourus	2
Cheilinus fasciatus	2
Cheilinus trilobatus	2
Cheilinus undulatus	2
Cirripectes castaneus	2
Cirripectes filamentosus	2
Cirripectes imitator	2
Cirripectes polyzona	2
Cirripectes stigmaticus	2
Cirripectes variolosus	2
Dascyllus albisella	2
Decapterus maruadsi	2
Diodon hystrix	2
Epinephelus coeruleopunctatus	2
Epinephelus fasciatus	2
Epinephelus morrhua	2
Epinephelus quoyanus	2
Fistularia commersonii	2
Gerres filamentosus	2
Girella tricuspidata	2
Gnathanodon speciosus	2
Grammatorcynus bicarinatus	2
Gymnocranius audleyi	2
Hemigymnus melapterus	2
Himantura uarnak	2
Kyphosus cinerascens	2
Lactoria cornuta	2
Lethrinus miniatus	2
Lethrinus nebulosus	2
Lethrinus rubrioperculatus	2
Lutjanus carponotatus	2
Lutjanus erythropterus	2
Lutjanus johnii	2
Lutjanus sanguineus	2
Lutjanus sebae	2
Monacanthus chinensis	2
Mulloidichthys flavolineatus	2
Naso unicornis	2
Nemipterus zysron	2
Neotrygon kuhlii	2
Ostracion meleagris	2
Oxycheilinus digramma	2
Paralabrax maculatofasciatus	2
Paramonacanthus choirocephalus	2
Parupeneus multifasciatus	2
Parupeneus pleurostigma	2
Parupeneus spilurus	2
Pentapodus setosus	2
Pervagor spilosoma	2
Platax orbicularis	2
Plectorhinchus lineatus	2
Plectropomus laevis	2
Pomacanthus imperator	2
Pomacanthus semicirculatus	2
Pomadasys argenteus	2
Priacanthus blochii	2
Pseudobalistes fuscus	2
Pseudocaranx dentex	2
Rachycentron canadum	2
Rhinecanthus verrucosus	2
Sardinella albella	2
Saurida tumbil	2
Scarus ghobban	2
Scolopsis lineata	2
Scomber australasicus	2
Scomberoides lysan	2
Scomberomorus semifasciatus	2
Selaroides leptolepis	2
Seriola dumerili	2
Seriola hippos	2
Seriolina nigrofasciata	2
Siganus javus	2
Sphyraena forsteri	2
Sphyraena obtusata	2
Sufflamen chrysopterum	2
Sufflamen fraenatum	2
Synodus ulae	2
Trachinocephalus myops	2
Tylosurus gavialoides	2
Variola albimarginata	2
Xanthichthys lineopunctatus	2
Abudefduf saxatilis	1
Abudefduf vaigiensis	1
Abudefduf whitleyi	1
Acanthurus guttatus	1
Acanthurus leucopareius	1
Acanthurus nigroris	1
Alectis indica	1
Amanses scopas	1
Anacanthus barbatus	1
Anyperodon leucogrammicus	1
Arothron mappa	1
Asymbolus analis	1
Atelomycterus marmoratus	1
Atherinomorus lacunosus	1
Atherinomorus pinguis	1
Bodianus perditio	1
Branchiostegus wardi	1
Cantherhines dumerilii	1
Canthidermis maculata	1
Caracanthus unipinna	1
Carangoides armatus	1
Carangoides equula	1
Carangoides orthogrammus	1
Caranx papuensis	1
Carcharhinus coatesi	1
Carcharhinus leucas	1
Carcharhinus limbatus	1
Centropyge heraldi	1
Cephalopholis cyanostigma	1
Cephalopholis sonnerati	1
Chaetodermis penicilligerus	1
Chaetodon aureofasciatus	1
Chaetodon auripes	1
Chaetodon miliaris	1
Chaetodon vagabundus	1
Chaetodontoplus conspicillatus	1
Chaetodontoplus personifer	1
Chlorurus gibbus	1
Choerodon fasciatus	1
Choerodon graphicus	1
Chromis ternatensis	1
Chrysiptera glauca	1
Cirripectes alboapicalis	1
Cirripectes chelomatus	1
Cirripectes fuscoguttatus	1
Cookeolus japonicus	1
Coris batuensis	1
Cromileptes altivelis	1
Ctenochaetus strigosus	1
Cybiosarda elegans	1
Cyclichthys hardenbergi	1
Dactyloptena orientalis	1
Dascyllus reticulatus	1
Dasyatis zugei	1
Decapterus macarellus	1
Diagramma labiosum	1
Diancistrus fuscus	1
Dicotylichthys punctulatus	1
Diodon holocanthus	1
Diodon liturosus	1
Diploprion bifasciatum	1
Drepane punctata	1
Ephippus orbis	1
Epibulus insidiator	1
Epinephelus akaara	1
Epinephelus amblycephalus	1
Epinephelus chlorostigma	1
Epinephelus lanceolatus	1
Epinephelus polyphekadion	1
Epinephelus rivulatus	1
Epinephelus sexfasciatus	1
Epinephelus tauvina	1
Etelis carbunculus	1
Eviota sebreei	1
Exallias brevis	1
Gerres ovatus	1
Gerres oyena	1
Gerres subfasciatus	1
Gobiodon rivulatus	1
Grammatorcynus bilineatus	1
Gymnocranius griseus	1
Halichoeres chloropterus	1
Halichoeres hortulanus	1
Hemigymnus fasciatus	1
Hemiramphus far	1
Hemiramphus lutkei	1
Heniochus acuminatus	1
Herklotsichthys quadrimaculatus	1
Hexanchus griseus	1
Hyporhamphus quoyi	1
Istigobius nigroocellatus	1
Konosirus punctatus	1
Kyphosus vaigiensis	1
Lethrinus harak	1
Lethrinus laticaudis	1
Lethrinus obsoletus	1
Lutjanus bohar	1
Lutjanus fulvus	1
Lutjanus gibbus	1
Lutjanus guttatus	1
Lutjanus monostigma	1
Lutjanus quinquelineatus	1
Manta alfredi	1
Megalops cyprinoides	1
Melichthys vidua	1
Meuschenia trachylepis	1
Myxus elongatus	1
Naso lituratus	1
Negaprion acutidens	1
Nematalosa nasus	1
Nemipterus bipunctatus	1
Neopomacentrus azysron	1
Neopomacentrus cyanomos	1
Odonus niger	1
Osteomugil engeli	1
Ostorhinchus doederleini	1
Ostracion immaculatus	1
Ostracion rhinorhynchos	1
Oxycheilinus unifasciatus	1
Pagrus auratus	1
Paraluteres prionurus	1
Paramonacanthus japonicus	1
Parapristipoma trilineatum	1
Parupeneus ciliatus	1
Parupeneus cyclostomus	1
Parupeneus forsskali	1
Pastinachus ater	1
Pentapodus paradiseus	1
Pervagor aspricaudus	1
Pervagor janthinosoma	1
Plagiotremus rhinorhynchos	1
Platybelone argalus	1
Platycephalus fuscus	1
Platycephalus indicus	1
Plectorhinchus cinctus	1
Plectroglyphidodon fasciolatus	1
Pleurosicya micheli	1
Plotosus lineatus	1
Pomacentrus chrysurus	1
Pomacentrus moluccensis	1
Pomadasys kaakan	1
Priacanthus hamrur	1
Priacanthus sagittarius	1
Prionurus microlepidotus	1
Prionurus punctatus	1
Prionurus scalprum	1
Pristipomoides filamentosus	1
Pseudolabrus guentheri	1
Pseudomonacanthus macrurus	1
Pseudomonacanthus peroni	1
Pterois antennata	1
Pterois volitans	1
Rhinecanthus rectangulus	1
Sargocentron melanospilos	1
Scarus frenatus	1
Scarus psittacus	1
Scarus rubroviolaceus	1
Scolopsis vosmeri	1
Selar crumenophthalmus	1
Sphyraena barracuda	1
Sphyraena flavicauda	1
Sphyraena japonica	1
Sphyraena putnamae	1
Stegostoma fasciatum	1
Stephanolepis cirrhifer	1
Stephanolepis setifer	1
Synodus hoshinonis	1
Synodus jaculum	1
Synodus macrops	1
Synodus similis	1
Taeniura lymma	1
Taeniurops meyeni	1
Terapon theraps	1
Tetrosomus gibbosus	1
Thalassoma jansenii	1
Thalassoma trilobatum	1
Trachinotus botla	1
Tragulichthys jaculiferus	1
Triaenodon obesus	1
Tylosurus melanotus	1
Upeneus japonicus	1
Upeneus taeniopterus	1
Upeneus tragula	1
Upeneus vittatus	1
Variola louti	1
Zabidius novemaculeatus	1
Zebrasoma flavescens	1
