Fish_species	Number_of_trematod_species
Euthynnus affinis	45
Mugil cephalus	40
Selar crumenophthalmus	35
Lateolabrax japonicus	30
Epinephelus fasciatus	28
Siganus fuscescens	28
Seriola dumerili	27
Platycephalus indicus	25
Rachycentron canadum	25
Epinephelus coioides	24
Lethrinus nebulosus	24
Lutjanus fulviflamma	24
Kyphosus cinerascens	23
Lethrinus miniatus	23
Naso unicornis	23
Caranx sexfasciatus	21
Platax orbicularis	21
Chaetodon auriga	20
Acanthurus triostegus	19
Chirocentrus dorab	19
Megalaspis cordyla	19
Sphyraena barracuda	19
Epinephelus akaara	18
Carangoides malabaricus	17
Parupeneus multifasciatus	17
Plectropomus leopardus	17
Siganus doliatus	17
Aluterus monoceros	16
Caesio cuning	16
Diagramma labiosum	16
Lutjanus argentimaculatus	16
Lutjanus carponotatus	16
Lutjanus fulvus	16
Parastromateus niger	16
Pristipomoides filamentosus	16
Seriolina nigrofasciata	16
Abalistes stellatus	15
Conger cinereus	15
Gymnothorax undulatus	15
Lutjanus bohar	15
Lutjanus gibbus	15
Siganus lineatus	15
Caranx hippos	14
Chaetodon citrinellus	14
Epinephelus merra	14
Kyphosus vaigiensis	14
Lethrinus haematopterus	14
Lutjanus erythropterus	14
Lutjanus quinquelineatus	14
Abalistes stellaris	13
Chaetodon fremblii	13
Crenimugil crenilabis	13
Epinephelus cyanopodus	13
Epinephelus tauvina	13
Fistularia petimba	13
Lutjanus kasmira	13
Naso brevirostris	13
Ostracion cubicus	13
Parupeneus cyclostomus	13
Parupeneus indicus	13
Pomadasys argenteus	13
Rastrelliger kanagurta	13
Scomberoides lysan	13
Siganus corallinus	13
Sillago sihama	13
Abudefduf bengalensis	12
Abudefduf whitleyi	12
Acanthurus sandvicensis	12
Arothron hispidus	12
Chaetodon lineolatus	12
Chanos chanos	12
Decapterus maruadsi	12
Diodon hystrix	12
Epinephelus quoyanus	12
Lates calcarifer	12
Mulloidichthys pfluegeri	12
Naso annulatus	12
Naso hexacanthus	12
Naso tonganus	12
Parupeneus ciliatus	12
Plectropomus maculatus	12
Seriola lalandi	12
Variola louti	12
Ablennes hians	11
Atropus atropos	11
Chaetodon plebeius	11
Chaetodon ulietensis	11
Epinephelus chlorostigma	11
Epinephelus fuscoguttatus	11
Lethrinus atkinsoni	11
Lutjanus vitta	11
Mulloidichthys vanicolensis	11
Priacanthus tayenus	11
Acanthopagrus australis	10
Atule mate	10
Chaetodon flavirostris	10
Chaetodon lunula	10
Chaetodon vagabundus	10
Choerodon venustus	10
Diagramma pictum	10
Drepane punctata	10
Ephippus orbis	10
Epinephelus areolatus	10
Epinephelus maculatus	10
Lethrinus harak	10
Ocyurus chrysurus	10
Parupeneus pleurostigma	10
Platycephalus fuscus	10
Priacanthus macracanthus	10
Pseudobalistes fuscus	10
Siganus argenteus	10
Siganus punctatus	10
Siganus spinus	10
Sphyraena pinguis	10
Therapon jarbua	10
Tylosurus crocodilus	10
Acanthochromis polyacanthus	9
Alectis indica	9
Caranx ruber	9
Chaetodon aureofasciatus	9
Chaetodon kleinii	9
Chaetodon miliaris	9
Chaetodon rainfordi	9
Chaetodon speculum	9
Coryphaena hippurus	9
Decapterus macarellus	9
Melichthys vidua	9
Muraenesox cinereus	9
Parma polylepis	9
Parupeneus barberinus	9
Platax teira	9
Plectorhinchus gibbosus	9
Plectropomus laevis	9
Pomacentrus moluccensis	9
Pterocaesio marri	9
Sarda orientalis	9
Sargocentron spiniferum	9
Scolopsis bilineata	9
Sphyraena helleri	9
Sphyraena jello	9
Sufflamen fraenatum	9
Thalassoma duperrey	9
Trachinocephalus myops	9
Acanthurus olivaceus	8
Cantherhines pardalis	8
Chaetodon ephippium	8
Chaetodon lunulatus	8
Chaetodon melannotus	8
Chaetodon ornatissimus	8
Choerodon cyanodus	8
Epinephelus bleekeri	8
Epinephelus malabaricus	8
Gymnothorax flavimarginatus	8
Hemiramphus far	8
Heniochus acuminatus	8
Heniochus chrysostomus	8
Heniochus varius	8
Kyphosus bigibbus	8
Lutjanus russelli	8
Monodactylus argenteus	8
Mulloidichthys flavolineatus	8
Naso lituratus	8
Osteomugil engeli	8
Parapristipoma trilineatum	8
Platax pinnatus	8
Siganus vulpinus	8
Thalassoma lunare	8
Acanthurus dussumieri	7
Albula vulpes	7
Aluterus scriptus	7
