locality	ECOREGION	PROVINCE
Ambon Bay	Banda Sea	Western Coral Triangle
Anhui		South China Sea
Arafura Sea	Arafura Sea	Sahul Shelf
Arnhem Coast to Gulf of Carpenteria	Arnhem Coast to Gulf of Carpenteria	Sahul Shelf
Austral Islands	Southern Cook/Austral Islands	Southeast Polynesia
Australian Exclusive Economic Zone	Arafura Sea	Sahul Shelf
Australian part of the Coral Sea	Coral Sea	Tropical Southwestern Pacific
Australian part of the Indian Ocean		Northwest Australian Shelf
Bali Sea		Java Transitional
Bismarck Sea	Bismarck Sea	Eastern Coral Triangle
Bonaparte Coast	Bonaparte Coast	Sahul Shelf
Borneo		Western Coral Triangle
Brisbane	Coral Sea	Tropical Southwestern Pacific
Brisbane River Mouth		Northeast Australian Shelf
Cairns		Northeast Australian Shelf
Cape York		Northeast Australian Shelf
Celebes Sea		Western Coral Triangle
Central and Southern Great Barrier Reef	Central and Southern Great Barrier Reef	Northeast Australian Shelf
China		South China Sea
China Sea		South China Sea
Chinese Exclusive Economic Zone		South China Sea
Chinese part of the South China Sea		South China Sea
Christmas Island / Kiritimati [Pacific Ocean]	Cocos-Keeling/Christmas Island	Java Transitional
Cocos Islands	Cocos-Keeling/Christmas Island	Java Transitional
Coral Sea	Coral Sea	Tropical Southwestern Pacific
Darwin Harbour		Sahul Shelf
Daya Bay		South China Sea
Disputed area South China Sea		South China Sea
East Australian Coastal Province		Northeast Australian Shelf
East Caroline Islands	East Caroline Islands	Tropical Northwestern Pacific
Eastern Philippines	Eastern Philippines	Western Coral Triangle
Eniwetok Atoll		Marshall, Gilbert and Ellis Islands
Exmouth to Broome	Exmouth to Broome	Northwest Australian Shelf
Fanning island	Cocos-Keeling/Christmas Island	Java Transitional
Fiji Islands	Fiji Islands	Tropical Southwestern Pacific
Fijian part of the South Pacific Ocean	Fiji Islands	Tropical Southwestern Pacific
Flinders Passage		Northeast Australian Shelf
French Polynesian Exclusive Economic Zone		Southeast Polynesia
French Polynesian part of the South Pacific Ocean		Southeast Polynesia
Fujian		South China Sea
Gambier Islands (French Polynesia)		Southeast Polynesia
Gladstone		Northeast Australian Shelf
Great Barrier Reef	Coral Sea	Tropical Southwestern Pacific
Guangdong		South China Sea
Guangzhou		South China Sea
Gulf of Carpentaria	Arnhem Coast to Gulf of Carpenteria	Sahul Shelf
Gulf of Nhatrang		South China Sea
Gulf of Siam	Gulf of Thailand	Sunda Shelf
Gulf of Thailand	Gulf of Thailand	Sunda Shelf
Gulf of Tonkin	Gulf of Tonkin	South China Sea
Ha Long Bay	Gulf of Tonkin	South China Sea
Hainan		South China Sea
Halmahera	Halmahera	Western Coral Triangle
Hawaii	Hawaii	Hawaii
Hawaiian Exclusive Economic Zone	Hawaii	Hawaii
Hawaiian part of the North Pacific Ocean	Hawaii	Hawaii
Heron Island	Coral Sea	Tropical Southwestern Pacific
Heron Reef	Coral Sea	Tropical Southwestern Pacific
Indonesian Exclusive Economic Zone		Java Transitional
Indonesian part of the Bali Sea		Sunda Shelf
Indonesian part of the Indian Ocean		Java Transitional
Irian Jaya		Western Coral Triangle
Java		Java Transitional
Java Sea	Sunda Shelf/Java Sea	Sunda Shelf
Kalimantan		Western Coral Triangle
Kaneohe Bay	Hawaii	Hawaii
Kii Peninsula		Western Coral Triangle
Lesser Sunda	Lesser Sunda	Western Coral Triangle
Lizard Island (Queensland)	Coral Sea	Tropical Southwestern Pacific
Lombok		Java Transitional
Luzon	Eastern Philippines	Western Coral Triangle
Makassar Strait	Sulawesi Sea/Makassar Strait	Western Coral Triangle
Malacca Strait	Malacca Strait	Sunda Shelf
Malaysian Exclusive Economic Zone		Sunda Shelf
Malaysian part of the Malacca Strait	Malacca Strait	Sunda Shelf
Malaysian part of the South China Sea		South China Sea
Mariana Islands	Mariana Islands	Tropical Northwestern Pacific
Marquesas	Marquesas	Marquesas
Marquesas Islands	Marquesas	Marquesas
Marshall Islands	Marshall Islands	Marshall, Gilbert and Ellis Islands
Maui Island	Hawaii	Hawaii
Mindanao		Western Coral Triangle
