"AphiaID_Parasite";"AphiaID_Host"
292968;217662
292969;126371
292969;217663
292969;217669
396483;217422
1287563;126803
1289292;159785
594678;217545
728171;217545
728171;299452
847972;217378
387869;217378
387872;105854
1448794;217419
387873;1019891
387873;217419
1035029;217378
847970;217378
387877;1019891
387877;217419
387878;217378
516691;278822
387880;217419
835840;217419
847971;217378
847969;217378
387882;217378
387883;1019891
387883;217419
516711;105854
516717;217419
835844;281931
835844;281932
387884;271484
516728;217428
835846;1019891
516736;281931
387888;271484
516737;398330
1035443;217378
835854;217419
387893;1019891
387893;217419
516769;105854
516771;217378
364578;219969
850394;218428
348334;127234
348357;159559
348373;127046
348380;127234
728174;212075
728174;212081
728175;126816
728176;212257
728178;212257
711107;212257
368430;126816
368430;212257
368431;212257
729555;212257
728185;212257
728186;126816
729556;126800
728188;212257
729557;212257
728189;212257
728190;212257
1422913;281275
356589;126803
518531;273922
518532;273922
518533;219690
518534;273929
518535;273920
518536;273916
518537;273912
727712;218481
745889;218431
364583;105843
518305;303486
518307;218708
518310;303486
518311;218431
518311;218708
356882;159256
356584;159256
594339;218200
1392447;282084
593999;278122
1454002;212056
1454003;212056
1454004;345843
1454005;212049
1454001;212056
727235;159289
727239;273484
727241;218568
727242;218621
727211;219675
594334;219690
519071;126804
378021;219668
726331;212256
579520;218397
418959;126804
418959;218396
418959;218397
418959;302312
418959;302432
579758;218385
579791;218568
579524;126800
579527;219995
579528;218404
579529;126804
579529;302432
579530;218404
348606;105793
135818;105789
135818;105792
135818;105796
135818;105843
135818;217352
157758;105796
348608;105800
348609;105796
356919;105792
356919;105796
356919;105843
356919;217352
356920;105793
348613;105789
348613;105790
348613;105792
361154;218621
835867;217356
835868;105800
1424412;217356
734558;273278
734558;281931
714371;218490
1430249;211780
1430249;278851
1430248;209219
1430248;276787
594718;278837
727563;209217
727563;209219
1430247;278836
518586;273833
518587;218200
518587;218206
518588;273835
518592;218204
518593;218207
1034996;127005
1327469;218394
728954;212056
728955;212056
728956;212056
728957;212056
728959;212056
519033;218434
727306;159439
727306;217966
727307;159439
727307;217966
765610;159703
727734;218481
740740;218431
726513;218468
726514;218200
726514;218205
740522;218430
726516;218205
819838;212075
819838;218199
819838;218200
819838;218207
819838;218218
819838;218228
819838;218252
819838;219340
819838;219911
819838;220046
819838;273845
819838;278655
593950;218218
593950;278655
728309;127077
728310;278634
728311;218494
756956;218238
1593367;218200
756957;218267
728313;218492
756958;218206
756959;278634
819772;212257
744980;218535
519042;126803
519043;126803
519043;126804
519044;126803
519044;126804
562219;159256
519045;126803
519045;126804
725984;282348
741803;212257
726602;212257
370556;219896
1581783;279950
1581785;279950
729367;218568
729368;218568
518579;278822
518580;278822
999819;218475
348785;218228
727542;218395
516456;272132
728584;217422
728586;217429
364635;218658
364637;217663
364637;218691
364639;218691
1450458;218397
1450458;218430
109115;159646
1014192;159703
717900;219925
517992;220046
1461967;159281
517998;126811
119470;126811
122889;281786
